,City,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
500,Bellaire,75,100,29.71,70.81,3.36
501,Contramaestre,75,83,20.3,71.6,4.7
502,Vorselaar,20,93,51.2,39.47,3.36
503,Kaliua,88,93,-5.06,66.91,3.38
504,Venadillo,88,100,4.72,62.14,1.81
505,Wenden,80,93,50.97,37.4,3.36
506,Basiglio,0,69,45.37,41.07,4.72
507,Léona,0,95,16.02,66.01,16.46
508,Pueblo Nuevo Vinas,36,84,14.23,61.33,0.36
509,Nachod,20,74,50.42,32.0,10.29
510,Oyan,40,88,8.05,78.8,6.93
511,Chorozinho,75,94,-4.3,78.8,5.82
512,Palimbang,8,95,6.21,82.66,11.43
513,Panambi,92,99,-28.3,63.4,4.94
514,Skorodumovka,64,94,48.34,43.33,17.02
515,Chicomuselo,0,90,15.77,53.14,1.36
516,Bloomfield,75,68,44.02,26.6,2.24
517,Oktyabr’sk,36,100,53.17,34.24,8.08
518,Non Thai,75,47,15.2,95.0,6.93
519,Lynchburg,75,71,37.41,53.83,4.05
520,Tsimasham,12,53,27.07,69.07,1.92
521,Santo Tomas,0,94,13.64,75.34,2.15
522,Krasnaya Gorbatka,92,99,55.87,37.03,14.0
523,Vijayapuri,40,66,11.23,84.2,4.7
524,Petropavlovskoye,0,100,52.07,28.39,5.39
525,Blue Springs,90,86,39.02,25.09,6.93
526,Siliveniotika,0,89,38.17,51.25,6.4
527,Lanester,92,93,47.76,50.0,8.05
528,Shabqadar,40,47,34.21,80.6,4.7
529,Saray,40,76,40.53,50.0,21.92
530,Sarbeni,20,70,44.47,45.5,8.05
531,Flower Mound,90,81,33.01,45.45,12.75
532,Machali,0,65,-34.18,52.6,4.38
533,Kostek,12,82,43.34,49.54,3.94
534,Toltestava,40,80,47.63,41.97,9.17
535,Dolni Nemci,20,69,48.97,38.25,9.17
536,Lynn Haven,1,100,30.25,58.1,8.86
537,Joliette,90,54,46.03,28.99,5.82
538,Bagnols-sur-Ceze,0,69,44.16,38.07,2.24
539,Nchelenge,56,97,-9.35,67.0,4.83
540,Marshall,90,100,39.12,26.13,3.36
541,Upper Klinan,32,86,6.23,81.4,4.16
542,Werl,75,86,51.55,36.16,3.36
543,Piscu Vechi,0,79,43.9,48.37,15.23
544,Kalamare,20,93,-22.87,61.69,9.64
545,Tessalit,0,33,20.2,64.03,3.83
546,Chiniot,32,61,31.72,84.73,9.42
547,Holesov,20,69,49.33,36.54,17.22
548,Malusac,75,44,14.86,91.33,13.87
549,Irondequoit,90,63,43.21,30.2,4.7
550,Gushu,0,54,31.56,80.6,11.18
551,Goure,0,29,13.99,66.01,6.96
552,Lincolnton,1,42,35.47,62.78,6.93
553,Neyvo-Shaytanskiy,8,79,57.73,31.36,5.17
554,Eibergen,90,93,52.1,36.45,4.7
555,Oberasbach,40,100,49.43,36.07,3.36
556,Zelenogorsk,90,94,60.2,33.8,8.95
557,Pakruojis,90,100,55.97,32.0,9.17
558,Uxbridge,1,37,42.08,34.9,4.72
559,Shelopugino,0,27,51.65,26.77,11.65
560,Petrovskaya,88,55,45.43,60.8,31.32
561,Hamar,32,86,61.6,26.6,3.36
562,Bucov,0,75,44.97,45.52,10.29
563,Nerja,40,76,36.75,47.61,2.24
564,Deta,0,86,45.39,40.06,3.36
565,Choachi,75,87,4.53,55.4,3.36
566,Manga,0,35,11.66,73.21,3.49
567,Perozinho,75,87,41.07,55.4,17.22
568,Vodskov,0,89,57.11,29.29,6.73
569,Armentieres,90,87,50.69,42.35,6.93
570,Brook Park,90,86,41.4,32.88,8.05
571,Castellammare di Stabia,40,93,40.7,47.44,1.92
572,Porbandar,40,62,21.63,87.8,3.36
573,Ecroignard,40,74,-20.23,84.2,11.41
574,Palamas,0,65,39.47,46.4,4.7
575,Trucuk,12,100,-7.83,82.12,3.38
576,Tet,0,70,47.52,41.88,6.93
577,Okolona,90,93,38.14,37.4,9.17
578,Kota Kinabalu,75,66,5.97,91.4,4.7
579,Mettur,0,66,11.8,85.9,3.71
580,Malyi,80,90,48.02,40.0,12.55
581,Muggio,0,69,45.58,40.1,4.72
582,Atlantis,20,93,-33.57,59.0,10.29
583,Mataquescuintla,0,90,14.53,54.76,2.26
584,Kurkino,88,95,53.43,34.33,15.23
585,Gundsomagle,0,92,55.74,30.27,6.93
586,Communal,36,96,13.25,78.52,3.15
587,Krasyukovskaya,64,86,47.52,45.31,17.02
588,San Estanislao,36,96,-24.65,66.46,2.93
589,Limoeiro,75,94,-7.87,77.0,5.82
590,Peregpuszta,0,86,46.32,40.59,11.41
591,Svinninge,0,92,55.72,28.4,6.93
592,Carbunari,0,86,44.83,41.0,3.36
593,Licab,64,79,15.54,81.31,6.96
594,Wanganui,12,88,-39.93,64.39,22.39
595,Macabuboni,48,89,16.19,83.29,4.16
596,Villa San Giovanni,20,76,38.22,54.46,10.29
597,Basiad,88,100,14.16,78.52,11.43
598,Independenta,0,87,43.97,42.8,18.34
599,Schela,36,77,45.5,48.01,7.63
600,Bacag,76,91,15.93,75.1,2.48
601,Piskavica,0,70,44.83,46.4,8.05
602,Canoas,90,94,-29.93,71.6,10.29
603,Otwock,90,93,52.12,32.0,14.99
604,Goiania,75,93,-16.67,66.2,3.36
605,Puerto Leguizamo,8,94,-0.19,73.39,2.37
606,Falefa,40,74,-14.0,86.0,11.41
607,Basse-Pointe,0,88,14.87,73.4,3.36
608,Wehr,0,86,47.63,29.43,5.82
609,Paitan Este,48,89,16.09,83.29,4.16
610,San Juan de Colon,75,100,8.04,73.4,3.36
611,Vladimirskaya,48,40,44.55,55.93,4.38
612,Narsingi,20,70,18.03,84.2,5.82
613,Zelezniki,0,100,46.23,30.38,1.12
614,Iba,64,79,15.46,81.31,6.96
615,Lucapa,48,88,-8.42,70.24,4.5
616,Alacranes,5,88,22.77,68.0,4.7
617,La Quiaca,88,100,-22.1,35.41,2.82
618,Suozhen,0,30,36.95,88.33,15.01
619,Novi Iskŭr,75,100,42.8,41.0,3.36
620,El Cafetal,40,94,10.47,75.2,2.15
621,Prudentopolis,92,96,-25.2,65.74,3.38
622,Kundarkhi,0,76,28.7,84.1,6.17
623,Walker Mill,90,61,38.88,50.23,3.36
624,Strib,0,100,55.54,29.79,8.05
625,Grojdibodu,12,77,43.75,48.55,16.35
626,Bolbec,0,66,49.57,46.96,13.87
627,Sugal,8,97,5.66,83.83,11.21
628,Mezibori,20,74,50.62,32.92,5.82
629,Farafenni,0,44,13.57,68.89,7.18
630,Oak Park,1,79,41.88,25.68,8.05
631,Iracoubo,100,89,5.48,77.17,4.61
632,Brasília,80,99,-3.9,71.95,2.26
633,Ostersund,36,85,63.18,15.8,2.24
634,Axioupoli,20,75,40.96,42.8,5.82
635,Verkhniye Achaluki,0,71,43.35,52.15,2.15
636,San Fernando,20,83,10.28,73.4,6.17
637,Ullensaker,20,70,60.18,16.33,5.39
638,Ayotzintepec,0,90,17.67,55.48,1.7
639,Gemeente Echt-Susteren,20,80,51.11,38.59,8.05
640,Trikala,20,75,40.6,42.8,5.82
641,"Illertissen, Stadt",0,100,48.22,30.25,2.24
642,Non Sang,36,52,16.87,89.6,5.82
643,Sriperumbudur,40,56,12.97,93.2,9.17
644,Dubrovnik,0,81,42.65,42.62,3.36
645,El Ocotito,5,88,17.25,77.0,4.7
646,Anajatuba,64,100,-3.27,74.92,1.36
647,North Richland Hills,90,75,32.83,45.66,10.29
648,Tuzser,75,93,48.34,37.4,7.07
649,Kalemie,20,100,-5.93,76.9,5.73
650,Placerville,1,67,38.73,60.03,4.7
651,Kilosa,92,97,-6.83,68.98,3.15
652,Perai,75,66,5.38,88.57,9.17
653,Peerstalle,75,86,51.07,42.37,10.29
654,Morton,1,85,40.61,20.77,5.06
655,Shchebetovka,88,92,44.94,51.97,10.09
656,Zarichne,92,97,51.81,37.21,25.52
657,Jantianon,20,74,9.44,86.0,11.41
658,Katymar,0,86,46.03,39.2,5.82
659,Oudenburg,75,86,51.18,42.24,10.29
660,Campagna,0,79,40.67,37.03,1.81
661,Rio,20,100,38.3,48.34,4.27
662,Santa Maria Xadani,0,85,15.93,54.67,1.92
663,Thapathali,20,46,27.72,73.4,3.36
664,Chambrey,36,95,10.98,78.7,5.28
665,Stiubieni,0,86,47.97,39.2,3.36
666,Ziebice,75,74,50.6,35.6,23.04
667,Carmona,40,52,14.31,89.6,9.17
668,Aracaju,40,78,-10.92,80.6,8.05
669,Ibiracu,40,88,-19.83,78.8,6.93
670,Suzun,64,92,53.78,25.96,11.88
671,Bauchi,0,52,10.31,67.0,4.27
672,Qaracuxur,40,76,40.34,50.0,21.92
673,Krasnoarmeysk,40,93,56.1,37.4,13.42
674,Agua Fria,20,76,13.45,82.03,5.17
675,Cruz das Almas,32,85,-12.67,74.29,3.6
676,Bumba,64,100,2.18,70.87,6.06
677,Assesse,75,80,50.37,41.0,5.82
678,Rimetea,75,80,46.45,39.74,5.82
679,Wuppertal,44,93,51.27,37.83,11.41
680,San Cristobal,75,94,18.42,71.6,4.7
681,Pizarro,68,100,4.95,74.74,3.04
682,Manteca,1,59,37.8,60.1,9.17
683,Pyli,90,100,39.45,37.4,2.71
684,Stepankovice,20,69,49.96,35.6,17.22
685,Pilibangan,0,30,29.45,96.43,9.98
686,North Tustin,75,82,33.76,56.64,3.36
687,Thyolo,75,94,-16.07,69.8,3.71
688,Rust,20,75,47.8,41.88,14.99
689,Bijawar,0,23,24.63,92.29,4.61
690,Frumoasa,88,75,46.45,35.86,9.75
691,Margara,0,76,40.03,51.8,3.38
692,Tartumaa,92,100,58.39,33.8,10.29
693,Waziers,90,87,50.39,42.8,6.93
694,Quezon,64,79,15.55,81.31,6.96
695,Bellevue,1,68,44.44,21.47,4.7
696,Oros,92,100,-6.25,70.33,3.27
697,Maholi,0,41,27.67,92.47,9.75
698,Feres,20,93,40.9,42.8,3.36
699,Stadenhausen,24,93,51.98,35.6,4.7
700,Pontes e Lacerda,8,94,-15.2,66.19,2.71
701,Bani,88,100,18.28,74.47,13.0
702,La Spezia,75,100,44.12,44.6,2.24
703,Kamias,80,91,15.17,76.63,3.71
704,Kolvereid,80,100,64.85,33.34,2.59
705,Leon,0,57,12.44,78.79,10.76
706,Cafarnaum,76,97,-11.7,66.19,4.94
707,Opovo,0,81,45.05,43.72,6.93
708,Ramacca,20,100,37.38,37.38,2.59
709,Dharampuri,0,27,22.17,97.24,4.5
710,Shahkot,0,44,31.08,90.76,5.17
711,Rasova,0,87,44.25,42.8,18.34
712,Ibarra,36,91,10.12,82.66,3.83
713,Pechea,36,77,45.63,48.01,7.63
714,Adiwerna,24,94,-6.94,79.42,2.15
715,Kolno,92,96,53.41,35.59,27.87
716,Zedelgem,75,86,51.15,42.22,10.29
717,Kattivakkam,40,56,13.22,93.2,9.17
718,Le Tampon,0,66,-21.27,85.17,3.36
719,Vielsalm,80,100,50.28,36.84,1.12
720,Kryvyy Rih,90,100,47.91,46.4,8.95
721,Szarvas,0,75,46.83,42.22,12.75
722,Kiskunmajsa,0,95,46.49,42.8,12.75
723,Kosino,20,94,58.41,27.94,7.18
724,Rampur,0,72,28.82,83.56,6.96
725,Vartej,0,18,21.73,89.6,3.36
726,Spinus,20,75,47.2,39.99,14.99
727,Wodonga,0,26,-36.12,82.17,8.05
728,San Miniato,20,87,43.68,46.31,5.82
729,Gort,90,86,53.07,37.4,13.87
730,Xiaoshan,20,69,30.17,75.2,6.71
731,Chakulia,75,64,22.48,75.2,4.05
732,Gargalianoi,20,87,37.07,46.4,12.21
733,Ciampino,0,75,41.8,44.62,3.36
734,Ilave,0,100,-16.08,25.33,3.38
735,Verpelet,32,76,47.85,39.28,8.63
736,Ahrenfeld,75,86,52.07,33.76,3.94
737,Chelmsford,1,47,42.6,33.94,4.7
738,Santa Lucia,56,88,14.03,81.76,4.05
739,Oxkutzcab,80,92,20.3,72.49,3.27
740,Areia Branca,40,78,-10.77,80.6,8.05
741,Socorro,40,11,31.65,68.92,7.4
742,Los Mochis,0,60,25.77,65.47,2.15
743,Delph,90,100,52.47,33.71,11.41
744,Ubajara,64,98,-3.85,71.68,3.15
745,Malkerns,24,96,-26.57,66.01,2.37
746,Ngoro,20,98,-7.69,80.23,2.37
747,Philadelphia,90,49,39.95,45.5,9.17
748,Madise,92,100,58.17,33.8,10.29
749,Atenas de San Cristobal,20,94,15.68,73.4,3.36
750,Sarisap,20,80,47.68,41.0,12.75
751,Navlya,0,80,52.83,41.0,13.42
752,Les Trois-Ilets,0,88,14.53,73.4,3.36
753,Faubourg Schœlcher,0,88,14.48,73.4,3.36
754,Tupik,44,30,54.43,24.07,10.54
755,Gararu,20,90,-9.97,71.32,4.38
756,San Dona di Piave,0,87,45.63,41.59,6.93
757,East Lothian,20,89,55.9,33.73,10.29
758,Sushkovo,64,98,54.94,37.3,17.47
759,Hanna,12,65,51.63,-2.21,4.16
760,Itamarandiba,8,94,-17.85,64.03,4.72
761,Marfino,20,86,55.7,37.4,15.66
762,Sardice,40,64,48.96,37.4,13.87
763,Ihosy,24,85,-22.4,70.6,5.73
764,Sivagiri,0,57,11.12,89.77,2.59
765,Aleksandrov,92,97,56.4,36.76,18.81
766,Urmary,90,99,55.68,32.0,15.66
767,Oliveira do Hospital,76,89,40.36,46.39,3.15
768,Watrous,0,58,51.67,-7.61,3.49
769,Sangrur,0,48,30.23,89.68,8.41
770,Vilcun,0,78,-38.65,41.62,1.7
771,Verkhneye Dubrovo,90,86,56.75,28.4,6.71
772,Kineshma,92,97,57.44,32.8,17.92
773,Burias,32,86,5.72,81.4,4.16
774,Banjaran,48,97,-7.06,73.57,1.92
775,Asturga,44,76,11.25,85.27,6.17
776,Moniquira,80,99,5.88,60.25,1.7
777,Desna,8,90,50.76,29.65,15.12
778,Odiong,56,97,12.59,77.08,1.36
779,Finca Blanco Numero Uno,44,94,8.38,73.21,4.16
780,San Felice sul Panaro,0,75,44.83,41.5,3.36
781,Kingston,20,92,44.23,23.95,2.37
782,Carmen,64,79,15.88,81.31,6.96
783,Chortiatis,20,75,40.6,42.8,5.82
784,Creve Coeur,40,74,-20.19,84.2,11.41
785,Manjhanpur,0,74,25.53,84.64,7.85
786,Kawambwa,56,97,-9.78,67.0,4.83
787,Norden,36,97,53.6,31.05,2.24
788,Mabahin,36,85,9.19,81.13,6.17
789,Briancon,44,71,44.9,19.3,1.48
790,Nafpaktos,20,100,38.42,46.4,6.4
791,Amherst,75,63,45.83,30.2,11.41
792,Bambous,40,74,-20.26,84.2,11.41
793,Winsford,92,93,53.18,35.38,9.17
794,La Estrella,40,100,6.16,57.2,1.81
795,San Pedro Sacatepequez,36,84,14.68,61.33,0.36
796,Mira,92,99,40.43,54.49,14.34
797,Sedkyrkeshch,0,67,61.75,23.0,4.47
798,Burgos,88,93,16.07,70.51,2.59
799,Calimete,0,94,22.53,68.0,8.05
800,Port-de-Bouc,0,100,43.41,42.03,6.93
801,Boston,75,40,42.36,34.68,12.75
802,Damienesti,0,87,46.73,43.59,3.36
803,Barra de Sao Francisco,56,93,-18.75,70.24,5.17
804,Labis,32,71,2.38,87.25,5.61
805,Rotenburg,40,100,53.12,28.38,2.24
806,Monreale,0,70,38.08,48.2,4.7
807,Bakau,0,93,13.48,64.4,5.82
808,Lardos,20,59,36.1,60.8,11.41
809,Apostolache,0,75,45.13,44.6,10.29
810,Uniontown,90,93,39.9,33.06,14.99
811,Krasnogvardeyets,32,97,52.68,31.81,6.96
812,Port Talbot,90,100,51.6,45.75,9.17
813,Amfilochia,20,100,38.86,48.2,3.36
814,Cheshunt,75,93,51.7,43.32,8.05
815,Anna Nagar,40,56,13.06,93.2,9.17
816,Bonn,44,93,50.73,36.86,3.36
817,Bronkhorstspruit,8,88,-25.81,66.2,2.24
818,Jirlau,12,69,45.17,49.09,8.08
819,Uige,48,97,-7.61,67.81,2.93
820,Tolbazy,90,100,53.99,32.0,6.71
821,Pijino,44,98,9.33,72.76,3.49
822,Bosansko Grahovo,0,88,44.18,33.16,2.59
823,Bozdar,40,52,27.18,87.8,9.17
824,Ciresu,36,79,44.95,48.82,8.97
825,Parkovyy,48,89,45.83,50.35,10.76
826,Fort Dodge,1,68,42.5,26.6,9.17
827,Tampico,20,88,22.22,75.2,16.11
828,Mediesu Aurit,0,100,47.78,37.4,6.93
829,Vidim,68,49,56.38,22.63,8.97
830,Kafr Sawm,0,67,32.68,60.8,2.24
831,Kizel,48,96,59.0,27.22,3.38
832,North Shore,0,56,-36.8,68.0,9.17
833,Rosales,64,79,15.88,81.31,6.96
834,Dacice,75,80,49.08,32.0,9.17
835,Cachira,75,100,7.74,69.73,3.36
836,Ekenaes,92,94,59.97,32.26,17.92
837,Albuquerque,20,20,35.08,52.2,8.75
838,Gopinathpur,75,64,22.65,75.2,4.61
839,Witu,92,84,-2.39,80.68,3.15
840,Nyrany,90,93,49.71,34.36,2.24
841,Thanatpin,40,46,17.3,93.2,5.82
842,Mairwa,0,47,26.23,90.13,7.4
843,Saue,90,96,59.32,32.0,14.99
844,Sopur,88,68,34.4,47.65,0.69
845,Mulappilangad,0,54,11.8,90.58,3.49
846,Herdweg,0,86,48.2,33.8,6.93
847,Sibolga,12,91,1.74,77.62,0.69
848,Valea Dragului,20,70,44.21,45.48,8.05
849,La Mesa,20,94,9.18,69.8,2.24
850,Verin,92,98,41.94,42.88,6.51
851,Brosteni,56,59,47.23,37.84,8.63
852,Monroe,1,45,33.79,62.89,5.82
853,Pacos de Ferreira,75,87,41.28,55.4,17.22
854,Mercedes,8,91,-29.18,63.04,6.96
855,Kanor,0,22,24.43,98.32,2.93
856,Shuangyashan,92,64,46.64,63.31,19.82
857,Tapiogyorgye,20,80,47.34,42.21,12.75
858,Bulqize,75,93,41.49,50.0,2.24
859,Littleton,1,79,44.31,25.39,3.36
860,Huruesti,0,87,46.27,44.6,3.36
861,Vale da Amoreira,48,98,39.07,47.74,8.19
862,Devli,0,29,25.75,94.27,7.52
863,Antioch,1,55,38.01,57.94,12.75
864,Lengerich,75,93,52.18,30.81,1.12
865,Saddle Brook,75,30,40.9,39.74,6.85
866,Hurup,0,92,56.75,26.6,3.36
867,Somanda,8,94,-3.37,69.97,0.69
868,Bela Vista,92,98,-22.1,69.79,3.15
869,Canlaon,56,91,10.39,79.69,2.82
870,Bhawanigarh,0,50,30.27,89.23,7.52
871,Dorp Soto,20,78,12.27,78.8,12.75
872,Payan,88,99,1.94,70.78,2.59
873,Milanówek,90,93,52.13,32.0,14.99
874,Une,75,87,4.4,55.4,3.36
875,Atherton,40,62,-17.27,87.8,6.93
876,Kenitra,40,93,34.26,53.6,4.7
877,Rafael Lara Grajales,0,82,19.25,42.61,2.48
878,Kurilsk,0,90,45.27,34.33,7.18
879,San Nicolas,76,91,16.08,75.1,2.48
880,Gāllāmāri,88,60,22.8,88.69,4.5
881,Lake Forest,75,82,33.65,56.53,3.36
882,Saint-Ghislain,90,87,50.45,41.68,6.93
883,Racalmas,20,80,47.02,41.99,12.75
884,Psedakh,0,69,43.47,52.6,3.04
885,Hovelhof,68,93,51.82,35.6,4.7
886,Budingen,75,93,50.3,36.52,2.24
887,Loanhead,20,89,55.87,33.58,10.29
888,Sevojno,90,100,43.84,37.89,4.7
889,Zitlala,0,94,17.63,54.13,1.81
890,Thessaly,0,58,39.38,49.0,3.49
891,Nevyansk,8,78,57.5,31.27,4.94
892,Kalyvia,20,86,40.76,41.04,2.37
893,Kadrina,92,94,59.33,33.16,12.66
894,Bisten,0,88,49.25,34.68,5.82
895,Poroszlo,0,70,47.65,42.8,13.87
896,Sibut,8,85,5.73,78.34,1.14
897,Akranes,90,100,64.32,35.76,16.11
898,Gainesville,90,80,33.63,39.18,9.17
899,Padapada,64,79,15.55,81.31,6.96
900,Espanola,0,90,46.25,15.34,4.38
901,Junin,0,94,-34.58,56.74,8.19
902,Hensall,90,86,43.43,28.4,2.24
903,Shatura,80,97,55.57,37.48,18.48
904,Botwood,90,93,49.15,35.6,20.8
905,Saint James,1,51,40.88,37.85,4.7
906,Mexico City,5,20,19.43,59.61,6.93
907,Kumagaya,1,33,36.13,72.64,3.36
908,Mwinilunga,0,95,-11.73,63.67,5.95
909,Yokote,75,62,39.3,58.14,6.93
910,Dhidhdhoo,20,100,6.88,82.48,1.92
911,Eischen,0,93,49.69,36.41,3.36
912,Stafa,88,100,47.24,29.32,2.93
913,Glendora,75,82,34.14,57.11,3.36
914,Plankstadt,36,89,49.39,37.3,3.04
915,Sekudai,75,66,1.53,88.68,6.93
916,San Andres,76,90,13.25,80.05,1.03
917,Maracana,88,100,-0.77,75.64,2.37
918,Ilinskoye-Khovanskoye,92,96,56.97,37.21,18.37
919,Nanma,0,44,36.18,80.59,11.21
920,Iznoski,92,95,54.99,38.56,19.04
921,Khatassy,75,85,61.9,17.6,11.18
922,Victoria,90,83,28.8,72.46,12.75
923,Krrabe,75,93,41.22,50.0,2.24
924,Kiskore,0,70,47.5,42.8,13.87
925,Ottignies,75,80,50.65,40.77,5.82
926,Jhusi,0,56,25.43,87.43,3.49
927,Randolph,1,47,42.16,36.36,3.36
928,Nartkala,90,100,43.56,41.0,4.47
929,Edison,40,30,40.52,42.21,3.94
930,Carrieres-sur-Seine,0,65,48.91,44.6,9.17
931,Pshatavan,0,71,40.04,53.6,1.12
932,Fomeque,75,87,4.49,55.4,3.36
933,Sembakung,80,84,3.82,80.86,3.04
934,Bad Salzungen,90,99,50.82,33.8,8.05
935,Priargunsk,20,35,50.37,31.9,16.35
936,Gossau (SG),0,91,47.42,29.28,2.24
937,Bom Jesus do Galho,8,93,-19.83,67.54,6.17
938,Zapotitlan,0,90,14.13,54.76,2.26
939,Saint-Chamond,0,69,45.47,39.18,3.36
940,South Berwick,75,40,43.23,32.68,4.7
941,Nayagarh,0,67,20.13,86.44,4.16
942,Mezhova,92,91,48.25,49.9,11.88
943,Photharam,48,82,13.69,84.73,4.38
944,Borehamwood,92,93,51.65,43.41,9.17
945,Davao,40,46,7.07,93.2,6.93
946,Maquiapo,75,44,14.99,93.2,13.87
947,Hanstholm,0,97,57.12,36.13,8.63
948,Pasvalys,90,99,56.06,32.0,9.17
949,Mamou,0,95,10.15,66.55,2.59
950,Chengalpattu,40,56,12.7,93.2,9.17
951,Santa Iria da Azoia,75,100,38.85,55.4,8.05
952,Fundu Moldovei,80,80,47.53,31.9,7.4
953,Moi,0,100,58.42,30.91,7.63
954,Cacaopera,24,69,13.77,70.06,1.7
955,Arthur,75,92,43.83,22.73,2.24
956,Musoma,12,100,-1.5,71.59,4.72
957,Saint-Marc-des-Carrieres,20,57,46.68,23.02,2.24
958,Lombardia,20,67,19.15,64.12,1.92
959,Santa Ana Huiloac,0,79,19.4,43.96,1.59
960,Chatham,75,93,51.38,44.1,9.17
961,Tarnova,0,86,45.23,41.0,3.36
962,Ariguani,80,88,10.25,68.53,1.03
963,Kerns,40,92,46.9,28.9,3.36
964,Beacon,40,43,41.5,35.08,3.36
965,Bolo,48,89,15.99,83.29,4.16
966,Kudus,20,94,-6.8,84.01,5.95
967,Feodosiya,88,92,45.04,51.97,10.09
968,Domalanoan,48,89,16.0,83.29,4.16
969,Capitola,1,81,36.98,56.77,5.82
970,El Rosal,75,87,4.85,55.4,3.36
971,Dessel,20,93,51.23,40.21,4.7
972,Itsukaichi,1,33,35.73,71.51,3.36
973,Leningradskiy,0,82,69.38,19.93,7.63
974,Sovetskoye,0,98,51.44,32.0,11.18
975,Zacoalco de Torres,75,32,20.23,69.8,5.82
976,Andi,0,64,42.78,38.02,0.81
977,Coral Springs,20,73,26.27,73.4,5.82
978,Thakurganj,75,40,26.45,89.6,6.93
979,Drexel Hill,90,49,39.95,45.5,9.17
980,Chalan,36,87,9.55,76.63,9.98
981,Izhma,32,76,65.01,27.85,3.6
982,Dymytrove,90,100,48.61,46.4,8.95
983,Adand,12,93,46.86,42.79,9.53
984,Rhede,32,100,51.83,37.42,5.82
985,Argos Orestiko,20,86,40.47,39.2,2.82
986,Libcice nad Vltavou,20,74,50.2,34.72,5.82
987,Svelvik,0,53,59.61,23.94,3.36
988,Vordingborg,0,92,54.98,28.4,6.93
989,Tesanj,0,86,44.61,42.84,4.7
990,Dourados,88,97,-22.22,68.17,1.92
991,Clarin,56,79,8.2,82.12,4.61
992,Tosagua,40,83,-0.78,77.0,3.36
993,Chebarkul,12,93,54.97,32.44,4.16
994,Kurskaya,56,100,44.05,40.99,4.27
995,Gioia del Colle,0,87,40.8,40.32,4.7
996,Santa Ana,20,94,15.65,73.4,3.36
997,Taman,0,51,45.21,62.6,29.08
998,Norton,1,47,41.97,35.92,3.36
999,Zvornik,0,86,44.39,39.2,4.7
